row_id,salt,source_table,source_pdf_page,source_printed_page,molality_mol_kg,osmotic_coefficient,gamma_pm_m,phi_table8_binding,gamma_table8_binding,miac_repository_path,miac_repository_sha256,miac_repository_row_status,osmotic_repository_candidate,osmotic_repository_row_status
HW1972-T10-LiBr-m0.9,LiBr,10,19,1064,0.9,1.021,0.789,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m1,LiBr,10,19,1064,1,1.035,0.803,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m1.2,LiBr,10,19,1064,1.2,1.064,0.834,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m1.4,LiBr,10,19,1064,1.4,1.095,0.871,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m1.6,LiBr,10,19,1064,1.6,1.127,0.913,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m1.8,LiBr,10,19,1064,1.8,1.16,0.96,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m2,LiBr,10,19,1064,2,1.195,1.012,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m2.5,LiBr,10,19,1064,2.5,1.284,1.166,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m3,LiBr,10,19,1064,3,1.377,1.359,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T11-LiI-m0.001,LiI,11,19,1064,0.001,0.989,0.966,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiI.csv,c3c65cb0a7d484313515c9bf0b4d709241f274748724f936a891c63ed283253f,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T11-LiI-m0.002,LiI,11,19,1064,0.002,0.985,0.953,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiI.csv,c3c65cb0a7d484313515c9bf0b4d709241f274748724f936a891c63ed283253f,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T11-LiI-m0.005,LiI,11,19,1064,0.005,0.978,0.93,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiI.csv,c3c65cb0a7d484313515c9bf0b4d709241f274748724f936a891c63ed283253f,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
