audit_case_id,grid_index,x_methane,branch,status,molar_density_mol_m3,residual_helmholtz,g_bar,support_line_g_bar,gap_above_support,failure_reason
may2015-row-001-midpoint,36,0.03600000928,single,accepted,15666.369030536145,-2.486220532400584,6.1424982170058335,,,
may2015-row-001-midpoint,36,0.03600000928,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,36,0.03600000928,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,37,0.03700000926000001,single,accepted,15666.249953265167,-2.4840109373454364,6.141427866114445,,,
may2015-row-001-midpoint,37,0.03700000926000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,37,0.03700000926000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,38,0.03800000924000001,single,accepted,15666.121901748538,-2.4818014274801428,6.140384997177548,,,
may2015-row-001-midpoint,38,0.03800000924000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,38,0.03800000924000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,39,0.039000009220000006,single,accepted,15665.984836169526,-2.4795920015792623,6.1393688987739425,,,
may2015-row-001-midpoint,39,0.039000009220000006,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,39,0.039000009220000006,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,40,0.040000009200000006,single,accepted,15665.838716479393,-2.477382658407026,6.138378895980225,,,
may2015-row-001-midpoint,40,0.040000009200000006,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,40,0.040000009200000006,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,41,0.041000009180000005,single,accepted,15665.683502406635,-2.4751733967178846,6.1374143476321334,,,
may2015-row-001-midpoint,41,0.041000009180000005,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,41,0.041000009180000005,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,42,0.042000009160000004,single,accepted,15665.519153455301,-2.4729642152564106,6.136474643853261,,,
may2015-row-001-midpoint,42,0.042000009160000004,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,42,0.042000009160000004,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,43,0.04300000914,single,accepted,15665.345628903244,-2.470755112757201,6.135559203819238,,,
may2015-row-001-midpoint,43,0.04300000914,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,43,0.04300000914,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,44,0.04400000912000001,single,accepted,15665.162887800554,-2.4685460879448087,6.134667473729972,,,
may2015-row-001-midpoint,44,0.04400000912000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,44,0.04400000912000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,45,0.04500000910000001,single,accepted,15664.970888967926,-2.4663371395336635,6.133798924966337,,,
may2015-row-001-midpoint,45,0.04500000910000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,45,0.04500000910000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,46,0.04600000908000001,single,accepted,15664.769590994765,-2.4641282662279522,6.132953052410777,,,
may2015-row-001-midpoint,46,0.04600000908000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,46,0.04600000908000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,47,0.04700000906000001,single,accepted,15664.558952237641,-2.461919466721553,6.132129372913991,,,
may2015-row-001-midpoint,47,0.04700000906000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,47,0.04700000906000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,48,0.048000009040000007,single,accepted,15664.33893081858,-2.4597107396979565,6.1313274238921665,,,
may2015-row-001-midpoint,48,0.048000009040000007,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,48,0.048000009040000007,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,49,0.049000009020000006,single,accepted,15664.109484623132,-2.4575020838301445,6.130546762041177,,,
may2015-row-001-midpoint,49,0.049000009020000006,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,49,0.049000009020000006,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,50,0.050000009000000005,single,accepted,15663.870571298816,-2.4552934977805236,6.129786962155741,,,
may2015-row-001-midpoint,50,0.050000009000000005,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,50,0.050000009000000005,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,51,0.051000008980000004,single,accepted,15663.6221482532,-2.453084980200823,6.129047616043099,,,
may2015-row-001-midpoint,51,0.051000008980000004,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
