ethanol_mass_percent,molality_mol_kg,gamma_pm_m_literature,gamma_pm_m_model,error,abs_error,parameter_fingerprint
60,0.03,0.684,0.7184820703398161,0.034482070339816095,0.034482070339816095,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.04,0.659,0.6916133414378105,0.03261334143781047,0.03261334143781047,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.05,0.635,0.670230807330738,0.03523080733073802,0.03523080733073802,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.06,0.618,0.6525149737192191,0.03451497371921908,0.03451497371921908,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.06999,0.601,0.637441550678924,0.03644155067892407,0.03644155067892407,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.08001,0.589,0.624304563957618,0.03530456395761805,0.03530456395761805,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.09001,0.575,0.6127350234664896,0.0377350234664896,0.0377350234664896,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.1,0.566,0.6024071310452185,0.03640713104521853,0.03640713104521853,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.2,0.492,0.5354524862147879,0.04345248621478792,0.04345248621478792,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.3,0.456,0.4974349760419845,0.041434976041984484,0.041434976041984484,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.4,0.429,0.47065896923393463,0.04165896923393464,0.04165896923393464,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.5,0.415,0.4496380114788426,0.0346380114788426,0.0346380114788426,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.5997,0.399,0.4320839107832862,0.03308391078328615,0.03308391078328615,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.7,0.392,0.4166747618666332,0.0246747618666332,0.0246747618666332,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.7999,0.382,0.40291528519226716,0.020915285192267152,0.020915285192267152,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.9,0.377,0.39032335889314906,0.013323358893149062,0.013323358893149062,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.9996,0.375,0.3787330368177516,0.0037330368177516116,0.0037330368177516116,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,1.027,0.368,0.3756853863824777,0.007685386382477732,0.007685386382477732,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.003001,0.791,0.8384415677219925,0.047441567721992484,0.047441567721992484,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.004,0.764,0.8181855502436738,0.054185550243673775,0.054185550243673775,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.005,0.745,0.8011736732793134,0.05617367327931344,0.05617367327931344,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.006,0.72,0.7864414443529162,0.06644144435291621,0.06644144435291621,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.007,0.705,0.7734080019674214,0.06840800196742147,0.06840800196742147,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.008002,0.691,0.7616759849966663,0.07067598499666639,0.07067598499666639,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.008999,0.674,0.751064145646018,0.07706414564601793,0.07706414564601793,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.01,0.659,0.7412886628649732,0.08228866286497316,0.08228866286497316,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.03999,0.503,0.596368659655335,0.09336865965533503,0.09336865965533503,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.04999,0.472,0.5714767554479323,0.09947675544793233,0.09947675544793233,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.06001,0.466,0.5511199476520796,0.08511994765207959,0.08511994765207959,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.07,0.455,0.5340496793925468,0.07904967939254676,0.07904967939254676,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.08001,0.437,0.5193420174024531,0.08234201740245312,0.08234201740245312,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.08999,0.427,0.5065169827921353,0.07951698279213532,0.07951698279213532,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
80,0.1,0.411,0.495112948147333,0.084112948147333,0.084112948147333,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
